周期,策略,交易数,年化,夏普,最大回撤,胜率,盈亏比,趋势腿笔数,回归腿笔数,趋势腿盈亏,回归腿盈亏,期末权益
5m,趋势基线,170,-11.3%,-2.94,7.4%,29.4%,0.66,170,0,-506.9,0.0,9330.8
5m,回归基线-bb,103,-5.0%,-3.41,3.0%,35.9%,0.61,0,103,0.0,-192.0,9707.4
5m,回归基线-z,968,-35.4%,-13.14,22.5%,33.2%,0.57,0,968,0.0,-1390.7,7764.4
5m,趋势-回踩,170,-11.3%,-2.94,7.4%,29.4%,0.66,170,0,-506.9,0.0,9330.8
5m,趋势-突破,121,-7.5%,-2.16,4.9%,38.8%,0.72,121,0,-319.8,0.0,9562.2
5m,结合-回踩,272,-16.1%,-4.03,10.2%,31.6%,0.64,170,102,-501.2,-206.8,9036.8
15m,趋势基线,261,-21.3%,-4.57,13.6%,31.4%,0.6,261,0,-1047.8,0.0,8708.4
15m,回归基线-bb,41,-2.6%,-2.34,2.1%,39.0%,0.65,0,41,0.0,-111.2,9848.4
15m,回归基线-z,280,-12.2%,-4.59,8.3%,36.8%,0.73,0,280,0.0,-454.1,9278.1
15m,趋势-回踩,261,-21.3%,-4.57,13.6%,31.4%,0.6,261,0,-1047.8,0.0,8708.4
15m,趋势-突破,168,-16.6%,-3.74,10.4%,34.5%,0.57,168,0,-833.2,0.0,9006.5
15m,结合-回踩,302,-23.3%,-5.03,15.1%,32.5%,0.6,261,41,-1036.3,-107.2,8576.2
